t,c,e,d
1948q1,9.450407,8.657033,6.4112377
1948q2,9.4620285,8.7267275,6.3485799
1948q3,9.4589424,8.7102633,6.3947816
1948q4,9.4689684,8.7234955,6.4335032
1949q1,9.4725704,8.6417589,6.423471
1949q2,9.4744587,8.6025333,6.4245567
1949q3,9.4665194,8.6130009,6.41434
1949q4,9.4712267,8.5562525,6.4517627
1950q1,9.4813738,8.6412115,6.5618305
1950q2,9.4982138,8.7004137,6.5668612
1950q3,9.511878,8.7600203,6.6319237
1950q4,9.5100355,8.7916794,6.660984
1951q1,9.5363674,8.7814426,6.5054612
1951q2,9.5367489,8.7965899,6.5320215
1951q3,9.5524006,8.8078117,6.5228643
1951q4,9.5558367,8.8117447,6.5181785
1952q1,9.5593481,8.7572975,6.4529972
1952q2,9.5763893,8.7457886,6.5148067
1952q3,9.587779,8.7566566,6.4919915
1952q4,9.5984049,8.7760639,6.5026269
1953q1,9.5977325,8.776288,6.4516516
1953q2,9.6050777,8.7571068,6.5334024
1953q3,9.6024332,8.7219257,6.5112295
1953q4,9.5956726,8.6253147,6.4850101
1954q1,9.6015787,8.6638031,6.5363593
1954q2,9.607976,8.669652,6.4726772
1954q3,9.6212673,8.696003,6.5189395
1954q4,9.6315908,8.734169,6.5361962
1955q1,9.6399441,8.8058605,6.5860257
1955q2,9.6470966,8.8207493,6.5924535
1955q3,9.6530094,8.8193665,6.6452894
1955q4,9.6701469,8.8274679,6.652308
1956q1,9.6772833,8.8014612,6.6676741
1956q2,9.679863,8.7989645,6.6609826
1956q3,9.6839304,8.7966881,6.6495967
1956q4,9.6923618,8.8032408,6.6785002
1957q1,9.6943178,8.8076715,6.6682944
1957q2,9.698061,8.7940912,6.6765447
1957q3,9.7044172,8.7814207,6.6716356
1957q4,9.7053003,8.7204466,6.64504
1958q1,9.6974173,8.6715431,6.6208167
1958q2,9.7074041,8.6790428,6.6268182
1958q3,9.7200003,8.7179279,6.6209254
1958q4,9.7251778,8.7704315,6.5921316
1959q1,9.734087,8.799572,6.6432252
1959q2,9.7430573,8.8392763,6.6671095
1959q3,9.7492952,8.784852,6.6813374
1959q4,9.7562103,8.7806273,6.6882
1960q1,9.7558727,8.8027792,6.6959667
1960q2,9.7641048,8.7675228,6.6926589
1960q3,9.7579565,8.7523651,6.7066188
1960q4,9.7607965,8.7231951,6.6966143
1961q1,9.7657919,8.7178736,6.6954298
1961q2,9.7764387,8.7595043,6.6987486
1961q3,9.7758846,8.7844782,6.7136512
1961q4,9.7901821,8.8329525,6.7487187
1962q1,9.7975702,8.8402338,6.7489495
1962q2,9.8050051,8.8303652,6.7714434
1962q3,9.8086691,8.8366957,6.7767105
1962q4,9.8131332,8.8573713,6.7801762
1963q1,9.8129311,8.8531199,6.7967863
1963q2,9.8166647,8.8706608,6.8127012
1963q3,9.8270578,8.8770943,6.8189721
1963q4,9.8312874,8.8913879,6.8382435
1964q1,9.843298,8.9149323,6.8693409
1964q2,9.8550358,8.9159355,6.8940282
1964q3,9.8661337,8.9188118,6.9067369
1964q4,9.8711958,8.9170732,6.9247303
1965q1,9.8777628,8.9735966,6.9337401
1965q2,9.8870249,8.9870033,6.9585166
1965q3,9.8974648,8.9920616,6.9820385
1965q4,9.9177351,9.0227222,7.0032978
1966q1,9.9242229,9.0538692,6.9954772
1966q2,9.9316874,9.0242376,6.9654136
1966q3,9.936923,9.0034962,6.9378848
1966q4,9.9399776,9.0057983,6.9018645
1967q1,9.9465141,8.9874992,6.9462347
1967q2,9.951827,8.9699097,6.9667602
1967q3,9.9553957,8.9757891,6.9720635
1967q4,9.9578838,8.9820127,6.9203501
1968q1,9.9708986,8.9843445,6.9678497
1968q2,9.9820623,9.0022316,6.9872713
1968q3,9.9913807,9.0002575,6.9974437
1968q4,9.9939823,8.9962444,6.9917002
1969q1,9.9991503,8.9785042,6.967113
1969q2,10.003997,8.9521189,6.9569192
1969q3,10.006318,8.9234114,6.9455013
1969q4,10.011901,8.8736219,6.9423366
1970q1,10.016839,8.8077497,6.9203877
1970q2,10.015264,8.811594,6.8932657
1970q3,10.019686,8.806469,6.8770781
1970q4,10.02113,8.7604809,6.8575974
1971q1,10.021393,8.8320551,6.877264
1971q2,10.023173,8.8405848,6.8564429
1971q3,10.023233,8.8485565,6.8483834
1971q4,10.030255,8.8759203,6.825922
1972q1,10.031356,8.88381,6.8505855
1972q2,10.042912,8.8978462,6.8507247
1972q3,10.051089,8.9261532,6.8612618
1972q4,10.064398,8.9902945,6.8683
1973q1,10.069843,8.9991131,6.8739271
1973q2,10.067703,8.9887772,6.8804703
1973q3,10.06864,8.9867792,6.8918538
1973q4,10.064791,9.0034266,6.9002008
1974q1,10.054247,8.9193106,6.8957114
1974q2,10.053781,8.8521681,6.886837
1974q3,10.053164,8.8132944,6.8650522
1974q4,10.049556,8.7760239,6.8349986
1975q1,10.051767,8.7427902,6.7958899
1975q2,10.061838,8.7794428,6.7712202
1975q3,10.062457,8.85989,6.7504125
1975q4,10.066828,8.8889847,6.7459445
1976q1,10.076149,8.9320421,6.8101187
1976q2,10.080977,8.9199619,6.8495717
1976q3,10.086828,8.9182835,6.876009
1976q4,10.094952,8.9086208,6.9037161
1977q1,10.098981,8.9246016,6.9004836
1977q2,10.09688,8.9691639,6.9062839
1977q3,10.100847,8.9959011,6.9238138
1977q4,10.109397,9.0008612,6.9301143
1978q1,10.117211,8.9737463,6.940268
1978q2,10.125614,9.0454054,6.9393334
1978q3,10.128398,9.0443668,6.9629064
1978q4,10.13125,9.055254,6.9745727
1979q1,10.135361,9.0332642,6.9835849
1979q2,10.134923,9.004591,6.9783788
1979q3,10.13641,8.9715624,6.9656029
1979q4,10.138689,8.9205914,6.9634471
1980q1,10.135451,8.8464317,6.9644523
1980q2,10.12308,8.72085,6.9764876
1980q3,10.126332,8.7488394,6.9554911
1980q4,10.134823,8.8002481,6.941011
1981q1,10.129805,8.797411,6.9554811
1981q2,10.132631,8.7417336,6.9926367
1981q3,10.13003,8.7750664,7.0157933
1981q4,10.129285,8.7061796,7.0207467
1982q1,10.130565,8.6114979,7.0039315
1982q2,10.130873,8.6460457,6.9762683
1982q3,10.134612,8.6230345,6.9642148
1982q4,10.145457,8.615097,6.979661
1983q1,10.153154,8.6542053,6.9882455
1983q2,10.163524,8.7082653,6.988718
1983q3,10.17549,8.7291908,6.9986434
1983q4,10.183436,8.7786589,7.0128121
1984q1,10.183236,8.8651037,7.0220037
1984q2,10.192493,8.8720951,7.0338945
1984q3,10.198963,8.8543835,7.0254612
1984q4,10.205903,8.851697,7.0339823
1985q1,10.218251,8.8693438,7.0481548
1985q2,10.224652,8.8603783,7.0533266
1985q3,10.233912,8.8812723,7.0549965
1985q4,10.239179,8.8446684,7.056046
1986q1,10.24086,8.818182,7.0799522
1986q2,10.244955,8.8034019,7.1089945
1986q3,10.248655,8.7991037,7.1120858
1986q4,10.255849,8.7882633,7.1043358
1987q1,10.264225,8.8136053,7.1030293
1987q2,10.27053,8.871377,7.0994473
1987q3,10.274499,8.9056292,7.1183157
1987q4,10.279387,8.9109259,7.1407733
1988q1,10.289413,8.9359264,7.1662259
1988q2,10.295666,8.9462557,7.1899538
1988q3,10.305895,8.9548359,7.2238817
1988q4,10.312613,8.9655609,7.2548194
1989q1,10.315986,8.9571114,7.304503
1989q2,10.317164,8.9179783,7.3376312
1989q3,10.322407,8.9071522,7.3626833
1989q4,10.330093,8.8787928,7.3888974
1990q1,10.325498,8.8802147,7.3832173
1990q2,10.33248,8.9010124,7.3694963
1990q3,10.336391,8.8607159,7.353054
1990q4,10.32923,8.8510332,7.3126149
1991q1,10.326675,8.8823175,7.3588114
1991q2,10.333464,8.8785524,7.3788419
1991q3,10.334614,8.8672447,7.3855553
1991q4,10.333901,8.8696442,7.3773613
1992q1,10.34755,8.9109888,7.3766923
1992q2,10.3521,8.9223261,7.3832769
1992q3,10.358704,8.9106741,7.3884544
1992q4,10.366437,8.935256,7.3915887
1993q1,10.366986,8.9237309,7.3968143
1993q2,10.370481,8.9567652,7.410284
1993q3,10.378942,8.9585657,7.4351773
1993q4,10.38271,9.0180693,7.4662833
1994q1,10.389864,9.0294199,7.5035582
1994q2,10.394936,9.0473499,7.5312076
1994q3,10.399432,9.0715637,7.5476322
1994q4,10.403781,9.0934553,7.5578761
1995q1,10.408365,9.0903273,7.5649252
1995q2,10.414848,9.106883,7.5779605
1995q3,10.418562,9.1383495,7.6027155
1995q4,10.421287,9.1534338,7.6364522
1996q1,10.428108,9.1895151,7.6755939
1996q2,10.433147,9.2062244,7.7067213
1996q3,10.436186,9.2019978,7.734591
1996q4,10.439389,9.2128391,7.7535672
1997q1,10.442843,9.2362938,7.7693372
1997q2,10.44633,9.245348,7.7871094
1997q3,10.456642,9.2718267,7.8032479
1997q4,10.463721,9.2599382,7.817214
1998q1,10.471832,9.2234049,7.8316298
1998q2,10.481979,9.2239094,7.8333783
1998q3,10.489807,9.2326193,7.8217764
1998q4,10.494469,9.2255669,7.7987695
1999q1,10.501518,9.2617321,7.7676592
1999q2,10.508263,9.2528048,7.7499161
1999q3,10.51457,9.238553,7.7540016
1999q4,10.526609,9.2402983,7.777904
2000q1,10.521781,9.2074718,7.8002434
2000q2,10.532791,9.2118359,7.8213015
2000q3,10.538294,9.1957941,7.818821
2000q4,10.544085,9.1852436,7.797853
2001q1,10.543635,9.1852007,7.7558188
2001q2,10.54351,9.2060308,7.7304893
2001q3,10.542552,9.1927767,7.7218795
2001q4,10.544069,9.1948853,7.732564
2002q1,10.546833,9.2546415,7.7637367
2002q2,10.549264,9.2626448,7.7822766
2002q3,10.549925,9.2758541,7.7845693
2002q4,10.55487,9.3169994,7.7941813
2003q1,10.552921,9.2911606,7.7761645
2003q2,10.556074,9.3141413,7.774734
2003q3,10.562963,9.3352718,7.8183751
2003q4,10.565125,9.3605585,7.8937831
2004q1,10.572356,9.4147081,7.9652238
2004q2,10.576327,9.4245958,8.0065994
2004q3,10.581972,9.4408922,8.006999
2004q4,10.588302,9.4264488,8.1601391
2005q1,10.591557,9.4632483,7.9978862
2005q2,10.597751,9.4623241,8.0140152
2005q3,10.602618,9.4658728,8.0065088
2005q4,10.607087,9.4960861,8.0618963
2006q1,10.611731,9.5252161,8.1610231
2006q2,10.614503,9.5184927,8.1922665
2006q3,10.616197,9.5220642,8.2029848
2006q4,10.622058,9.4974365,8.2387962
2007q1,10.622407,9.4318361,8.2472448
2007q2,10.620239,9.4362411,8.2853603
2007q3,10.621829,9.3951759,8.2879381
2007q4,10.620921,9.361392,8.2778959
2008q1,10.622904,9.3060703,8.3041649
2008q2,10.623096,9.2825899,8.2445145
2008q3,10.61596,9.266592,8.1930723
2008q4,10.611422,9.1113787,8.1206598
2009q1,10.608315,9.2135296,8.0315876
2009q2,10.602232,9.2135277,7.8544021
2009q3,10.60174,9.2922058,7.7364717
2009q4,10.600106,9.3469467,7.6758666
2010q1,10.603135,9.3968239,7.7183561
2010q2,10.606269,9.4090443,7.7523928
2010q3,10.609712,9.4697237,7.8041763
2010q4,10.611368,9.4739971,7.8627214
2011q1,10.614499,9.421876,7.9217076
2011q2,10.615839,9.4614124,7.9464359
2011q3,10.616864,9.4759102,7.992394
2011q4,10.613862,9.5191288,8.0360966
2012q1,10.611666,9.5393696,8.0503492
2012q2,10.610913,9.5382948,8.0851555
2012q3,10.608788,9.5223684,8.0915956
2012q4,10.60871,9.5146551,8.3119068
2013q1,10.608826,9.5182533,8.0245275
2013q2,10.606926,9.5262346,8.0506477
2013q3,10.608043,9.5220499,8.0802498
2013q4,10.61391,9.5219088,8.0929575
2014q1,10.614359,9.4992685,8.1418266
2014q2,10.619934,9.5441189,8.2107506
2014q3,10.627561,9.5567188,8.2457037
2014q4,10.635613,9.5459633,8.2664309
2015q1,10.639136,9.5293655,8.302557
2015q2,10.643596,9.5068445,8.2720356
2015q3,10.647582,9.4927139,8.2683668
2015q4,10.650465,9.4509649,8.2815447
2016q1,10.652948,9.4636135,8.2903833
2016q2,10.658158,9.4574747,8.2954149
2016q3,10.659754,9.4607449,8.2997341
2016q4,10.662049,9.4680061,8.2975492
2017q1,10.667587,9.4662943,8.2849407
2017q2,10.671145,9.4762974,8.3130035
2017q3,10.672857,9.4756222,8.3012123
2017q4,10.677872,9.4839439,8.291357
2018q1,10.675979,9.4865093,8.2858648
2018q2,10.682011,9.5007915,8.2950506
2018q3,10.688639,9.5175152,8.3006277
